03/09/2017,Smash Gods and Gatekeepers,784,Los Angeles, CA,SoCal,Cal,https://smash.gg/tournament/red-bull-smash-gods-and-gatekeepers-2/events
27/08/2017,Shine 2017,1156,Boston, MA,New Eng.,Hungrybox,https://smash.gg/tournament/shine-2017/events
20/08/2017,New Jersey Arcadian Summer 2017,134,Somerville, NJ,Tristate,E-tie,https://smash.gg/tournament/new-jersey-arcadian-summer-2017/events/melee-singles/brackets/138598
20/08/2017,Heir 4,476,Nottingham, UK,Europe,Leffen,https://smash.gg/tournament/heir-4/events
13/08/2017,Super Smash Con 2017,1079*,Chantilly, VA,MD/VA,Mango,https://smash.gg/tournament/super-smash-con-2017/events
06/08/2017,Smash Factor 6,128*,Puebla, Mexico,Lat. Am.,SFAT,https://smash.gg/tournament/smash-factor-6-1/events
06/08/2017,Low Tier City 5,321*,Irving, TX,Southwest,Wizzrobe,https://smash.gg/tournament/low-tier-city-5/events
30/07/2017,Get On My Level 2017,566,Mississauga, ON,Canada,Leffen,https://smash.gg/tournament/get-on-my-level-2017/events
29/07/2017,New Wave,108,London, UK,Europe,Laurster,https://smash.gg/tournament/new-wave-2/events
23/07/2017,DreamHack Atlanta 2017,402,Atlanta, GA,Atl. South,Plup,https://smash.gg/tournament/dreamhack-atlanta-2017/events
23/07/2017,Azension II,104,Vaxjo, Sweden,Europe,Daydee,https://smash.gg/tournament/azension-ii/events/melee-singles/brackets/102944
22/07/2017,Lost In Space,106,Columbus, OH,Midwest,Hanky Panky,https://smash.gg/tournament/lost-in-space-1/events/melee-singles/brackets/137473
22/07/2017,Dash Dancers Dawn,128,Duren, Germany,Europe,Trifasia,https://smash.gg/tournament/dash-dancers-dawn/events
16/07/2017,Evo 2017,1428,Las Vegas, NV,Southwest,Armada,https://smash.gg/tournament/evo-2017/events
09/07/2017,Storm the Harbour,108,Halifax, NS,Canada,PC Jeff,https://smash.gg/tournament/storm-the-harbour-2000-pot-bonus/events
09/07/2017,Genesis: RED,258,Berkeley, CA,SoCal,SFAT,https://smash.gg/tournament/genesis-red-powered-by-showdowngg/events
08/07/2017,Function(3),175,Atlanta, GA,Atl. South,Lucky,https://smash.gg/tournament/function-3-recursion-series/events
08/07/2017,Super Rubicon 1,143,St. Charles, IL,Midwest,KJH,https://smash.gg/tournament/super-rubicon-1/events
08/07/2017,Battle GateWay 17,113,Tokyo, Japan,Japan,Rudolph,http://challonge.com/BGW17
01/07/2017,Apollo VII,114,New York City, NY,Tristate,The Moon,https://smash.gg/tournament/apollo-vii/details
01/07/2017,Bad Moon Rising 2,369,Winston-Salem, NC,Atl. South,Hungrybox,https://smash.gg/tournament/bad-moon-rising-2/details
25/06/2017,Revenge of the 6ix: Episode II,111,Toronto, ON,Canada,KirbyKaze,https://smash.gg/tournament/revenge-of-the-6ix-episode-ii-ft-hugs-kjh-prince/events/melee-singles/brackets/138919
25/06/2017,OMEGA,128,Deer Park, NY,Tristate,Swedish Delight,https://smash.gg/tournament/omega/events/melee-singles/brackets/132593
24/06/2017,GALAXY LG,101,Monterrey, Mexico,Mexico,Valdo,https://smash.gg/tournament/galaxy-lg-mty-mexico/events/melee-singles/brackets/138759
24/06/2017,New England Summer Arcadian,134,Natick, MA,New Eng.,Mr. Tuesday,https://smash.gg/tournament/new-england-melee-summer-arcadian/events/melee-singles/brackets/138880
18/06/2017,CEO 2017,292,Orlando, FL,Florida,Hungrybox,https://smash.gg/tournament/ceo-2017/events
18/06/2017,DreamHack Summer 2017,100,Jönköping, Sweden ,Europe,Armada,https://smash.gg/tournament/dreamhack-summer-2017/events
10/06/2017,Mini Boss,108,Tempe, AZ,Southwest,ilovebagels,https://smash.gg/tournament/mini-boss/events/melee-singles/brackets/137215
04/06/2017,Battle of BC 2,396,Vancouver, BC,Canada,ChuDat,https://smash.gg/tournament/ubc-esports-presents-battle-of-bc-2/events
04/06/2017,Smash N Splash 3,848,Wisconsin Dells, WI,Midwest,Hungrybox,https://smash.gg/tournament/smash-n-splash-3/events
03/06/2017,Origin,103,Newcastle, UK,Europe,Vanity Angel,https://smash.gg/tournament/origin/events
28/05/2017,MomoCon,105,Atlanta, GA,Atl. South,Mew2King,https://smash.gg/tournament/momocon-2017-1/details
28/05/2017,The Bigger Balc,372,Pomona, CA,SoCal,Hungrybox,https://smash.gg/tournament/the-bigger-balc/details
27/05/2017,Mission Complete 5,146,Tilburg, Netherlands,Europe,Armada,https://smash.gg/tournament/mission-complete-5/details
27/05/2017,PNW Arcadian,150,Seattle, WA,Northwest,Gus,https://smash.gg/tournament/the-pnw-arcadian-wa-or-bc/events/melee-singles/brackets/135545
27/05/2017,Shift,126,Foxborough, MA,New Eng.,Crush,https://smash.gg/tournament/shift/events/melee-singles/brackets/135337
21/05/2017,Awakening II,113,Zorneding, Germany,Europe,Daumling,https://smash.gg/tournament/awakening-ii/events
21/05/2017,Runback 2017,203,Mesa, AZ,Southwest,Plup,https://smash.gg/tournament/runback-2017/events
20/05/2017,Downfall,156,Ann Arbor, MI,Midwest,DruggedFox,https://smash.gg/tournament/downfall/events
20/05/2017,The Philadelphia Arcadian 2017,127,Philadelphia, PA,Tristate,Nagy,https://smash.gg/tournament/the-philadelphia-arcadian-2017/details
14/05/2017,Royal Flush,331,Atltantic City, NJ,Tristate,Mango,https://smash.gg/tournament/royal-flush/details
14/05/2017,Battle Arena Melbourne 9,210,Melbourne, Australia,Australia,Spud,https://smash.gg/tournament/battle-arena-melbourne-9/details
06/05/2017,SWEET 28,122,East Lansing, MI,Midwest,Armada,https://smash.gg/tournament/sweet-28-a-super-smash-bros-melee-event/details
06/05/2017,Function(2),144,Atlanta, GA,Atl. South,DruggedFox,https://smash.gg/tournament/function-2-recursion-monthly-series/details
06/05/2017,Bridgetown Blitz,114,Tigard, OR,Northwest,Bladewise,https://smash.gg/tournament/bridgetown-blitz/details
30/04/2017,SoCal Arcadian,214,Santa Ana, CA,SoCal,xKobayashi,https://smash.gg/tournament/team-oxy-esports-arena-presents-the-arcadian/events
30/04/2017,DreamHack Austin 2017,438,Austin, TX,Southwest,Hungrybox,https://smash.gg/tournament/dreamhack-austin-2017/events
29/04/2017,SoCal Colosseum 10,126,South Pasadena, CA,SoCal,Lucky,https://smash.gg/tournament/socal-colosseum-10-arcadian-training/events
29/04/2017,Lift Off,104,New York City, NY,Tristate,vortex,https://smash.gg/tournament/lift-off/events/melee-singles/brackets/132042
23/04/2017,The Come Up 2017,177,Toronto, ON,Canada,Ryan Ford,https://smash.gg/tournament/the-come-up-2017-ontario-smash-regional/events/melee-singles/brackets/131047
22/04/2017,Michigan Arcadian 6,170,Ann Arbor, MI,Midwest,i4n,https://smash.gg/tournament/michigan-arcadian-6/events/melee-singles/brackets/131038
22/04/2017,Ghost Pepper Smash,129,Troy, NY,Tristate,Professor Pro,https://smash.gg/tournament/ghost-pepper-smash/events/melee-singles/brackets/129937
22/04/2017,Flatiron 2,230,Boulder, CO,Midwest,Swedish Delight,https://smash.gg/tournament/flatiron-2-powered-by-weedmaps/events
16/04/2017,CEO Dreamland,333,Orlando, FL,Florida,Mew2King,https://smash.gg/tournament/ceo-dreamland/events
16/04/2017,HFLAN Melee Edition 2017,233,Noisy-le-Grand, France,Europe,Armada,https://smash.gg/tournament/hflan-melee-edition-2017/events
16/04/2017,Zotcade '17,124,Irvine, CA,SoCal,Westballz,https://smash.gg/tournament/zotcade-17/events
16/04/2017,CEO Dreamland,333,Orlando, FL,Florida,Mew2King,https://smash.gg/tournament/ceo-dreamland/events
15/04/2017,Fight Pitt 7,215,Pittsburgh, PA,Tristate,KJH,https://smash.gg/tournament/fight-pitt-7/events
08/04/2017,Reign 3,100,Seattle, WA,Northwest,Bladewise,https://smash.gg/tournament/reign-3/events
08/04/2017,Apollo IV,103,New York City, NY,Tristate,dizzkidboogie,https://smash.gg/tournament/apollo-iv-7/events
08/04/2017,Beantown Lean House,137,Brookline, MA,New Eng.,HugS,https://smash.gg/tournament/btlh-i-1/events
02/04/2017,CT Gamercon`,185,Uncasville, CT,New Eng.,Hungrybox,https://smash.gg/tournament/ct-gamercon-game-underground-tournaments/events
02/04/2017,Watch The Throne 3,117,Chicago, IL,Midwest,simkins,https://smash.gg/tournament/watch-the-throne-3-chicago-melee-arcadian/events/melee-singles-1/brackets/128491
02/04/2017,Shuffle: Battle of the Midwest,219,Columbus, OH,Midwest,The Moon,https://smash.gg/tournament/shuffle-battle-of-the-midwest/events
01/04/2017,Function(1),156,Atlanta, GA,Atl. South,Wizzrobe,https://smash.gg/tournament/function-1-recursion-regional/events
26/03/2017,Full Bloom 3,316,Bloomington, IN,Midwest,Hungrybox,https://smash.gg/tournament/full-bloom-3/events
26/03/2017,Frozen Phoenix 2017,165,Hamilton, ON,Canada,Lucky,https://smash.gg/tournament/frozen-phoenix-2017/events
25/03/2017,PGH/NEOH Arcadian 2017,114,Youngstown, OH,Midwest,Spy,https://smash.gg/tournament/pgh-neoh-invitational-arcadian-2017/events
25/03/2017,Norcal Validated 3,100,Concord, CA,NorCal,Azusa,https://smash.gg/tournament/norcal-validated-3/events
19/03/2017,Frame Perfect Series 2,134,Orlando, FL,Florida,Hungrybox,https://smash.gg/tournament/mvg-presents-frame-perfect-series-2-1/events
18/03/2017,SoCal Colosseum 9,113,South Pasadena, CA,SoCal,MacD,https://smash.gg/tournament/socal-colosseum-9-team-root-beer/events
18/03/2017,MMOM Bi-Monthly 6,106,Amesbury, MA,New Eng.,Crush,http://mmom.challonge.com/bimonthly6
18/03/2017,Mountain of Dreams 2,129,Morgantown, WV,Midwest,Drephen,https://smash.gg/tournament/mountain-of-dreams-2-5/events
18/03/2017,Norcal Arcadian #4,359,Santa Clara, CA,NorCal,Weedlar,https://smash.gg/tournament/norcal-arcadian-4/events
12/03/2017,Super Smash Sundays 57,147,Santa Ana, CA,SoCal,S2J,https://smash.gg/tournament/super-smash-sundays-57-2/events
11/03/2017,The Golden Bair 6,145,Berkeley, CA,NorCal,dizzkidboogie,http://sab.challonge.com/gb6champ
11/03/2017,SWEET 27,172,Ann Arbor, MI,Midwest,Westballz,https://smash.gg/tournament/sweet-27-a-super-smash-bros-melee-event/events
11/03/2017,Apollo III,149,New York City, NY,Tristate,Swedish Delight,https://smash.gg/tournament/apollo-iii/events
04/03/2017,No Fun Allowed,192,Bryan, TX,Southwest,MikeHaze,https://smash.gg/tournament/no-fun-allowed/events/melee-singles/brackets/79124
04/03/2017,Beachcon 2017,102,Long Beach, CA,SoCal,Captain Faceroll,https://smash.gg/tournament/beachcon-2017/events
26/02/2017,Mass Madness 15,129,Natick, MA,New Eng.,Crush,http://bigbluees.challonge.com/MM15Pro
26/02/2017,Super Smash Sundays 56,153,Santa Ana, CA,SoCal,SFAT,https://smash.gg/tournament/super-smash-sundays-56/events
25/02/2017,An Epic Anniversary,128,Portland, OR,Northwest,Bladewise,https://smash.gg/tournament/an-epic-anniversary/events
25/02/2017,UBC Cup 2017,144,Vancouver, BC,Canada,Vinodh,https://smash.gg/tournament/ubc-cup-2017/events
19/02/2017,San Diego Arcadian #3,220,San Diego, CA,SoCal,Blue(Buddy),https://smash.gg/tournament/san-diego-melee-arcadian-3-at-winter-gamefest/events
19/02/2017,B.E.A.S.T 7,409,Gothenburg, Sweden,Europe,Armada,https://smash.gg/tournament/beast-7-1/events
18/02/2017,Smash Valley V,253,State College, PA,Tristate,Lucky,https://smash.gg/tournament/smash-valley-v-featuring-lucky-abate-swedish-delight-wadi-more/events
18/02/2017,SoCal Colosseum 8,114,South Pasadena, CA,SoCal,S2J,https://smash.gg/tournament/socal-colosseum-8-v-cancel-day/events
18/02/2017,Reign 2,110,Seattle, WA,Northwest,Bladewise,https://smash.gg/tournament/reign-2/events
18/02/2017,Gator Gaming Winter Party 2017,127,Gainesville, FL,Florida,King Momo,https://smash.gg/tournament/gator-gaming-winter-party-2017/events
12/02/2017,LanETS 2017,116,Montreal, QC,Canada,Leffen,https://smash.gg/tournament/lanets-2017-feat-rb-tsm-leffen/events/melee-singles/brackets/117335
11/02/2017,SmashBox 2,128,Coventry, UK,Europe,DruggedFox,https://smash.gg/tournament/smashbox-2/events
11/02/2017,Norcal Validated 2,142,Concord, CA,NorCal,SFAT,https://smash.gg/tournament/norcal-validated-2/events
11/02/2017,SWEET XXVI,101,East Lansing, MI,Midwest,KJH,https://smash.gg/tournament/sweet-xxvi-a-super-smash-bros-melee-tournament/events
11/02/2017,Super SmashNest v13,104,Portland, OR,Northwest,Iceman,https://smash.gg/tournament/super-smashnest-v13/events
04/02/2017,Torneo Galactico,105,Guadalupe, Mexico,Mexico,Javi,https://smash.gg/tournament/torneo-galactico/events http://challonge.com/v5keez3u
04/02/2017,The Kentspiracy,122,Kent, OH,Midwest,TheRealThing,https://smash.gg/tournament/ksu-smash-presents-the-kentspiracy/events
04/02/2017,The SC Arcadian,111,Columbia, SC,Atl. South,Keenan,https://smash.gg/tournament/the-sc-arcadian/events
29/01/2017,Moses Kang Memorial Tournament 2,126,Chapel Hill, NC,Atl. South,$mike,https://smash.gg/tournament/moses-kang-memorial-tournament-ii/events
29/01/2017,Super Smash Sundays 55,210,Santa Ana, CA,SoCal,DruggedFox,https://smash.gg/tournament/super-smash-sundays-55-1/events
28/01/2017,SoCal Colosseum 7,185,South Pasadena, CA,SoCal,n0ne,https://smash.gg/tournament/socal-colosseum-7-exodus-ft-syrox-n0ne-bizz-flame-and/events
22/01/2017,Genesis 4,1704,San Jose, CA,NorCal,Armada,https://smash.gg/tournament/genesis-4/events
17/01/2017,Get Smashed At The Foundry 105,136,San Francisco, CA,NorCal,Plup,https://smash.gg/tournament/get-smashed-105-special-pre-genesis-4-foundry-event/events/melee-singles/brackets/101160
15/01/2017,Arcamelee 2,109,Villeurbanne, France,Europe,The Moon,https://smash.gg/tournament/arcamelee-2/details
15/01/2017,We Tech Those 9,125,Atlanta, GA,Atl. South,Baka4Moe,https://smash.gg/tournament/we-tech-those-9-georgia-tech/events
14/01/2017,SWEET 25,232,Ann Arbor, MI,Midwest,Ice,https://smash.gg/tournament/sweet-25/details
14/01/2017,Norcal Validated,176,Concord, CA,NorCal,Plup,https://smash.gg/tournament/norcal-validated-featuring-professor-pro-genesis-4-warm-up/details
14/01/2017,UWaterloo Melee Monthly 1,101,Waterloo, ON,Canada,KirbyKaze,https://smash.gg/tournament/uwaterloo-melee-monthly-1/events
14/01/2017,Room 50,128,Columbus, OH,Midwest,Fizzle,https://smash.gg/tournament/room-50/events/melee-singles/brackets/100320
14/01/2017,Mass Madness 14,115,Natick, MA,New Eng.,Crush,https://smash.gg/tournament/mass-madness-14/events/melee-singles/brackets/101706
08/01/2017,Apollo,144,New York City, NY,Tristate,KJH,https://smash.gg/tournament/apollo/details
07/01/2017,Best of the Rest: UK Arcadian,112,Southampton, UK,Europe,Setchi,https://smash.gg/tournament/best-of-the-rest/events
18/12/2016,Wreck The Halls 2,100,Libertyville, IL,Midwest,Kels,https://smash.gg/tournament/wreck-the-halls-2/events
18/12/2016,DGWinter Clash,144,Dortmund, Germany,Europe,reaper,https://smash.gg/tournament/dgwinter-clash/events
18/12/2016,Don't Park on the Grass,640,Seattle, WA,Northwest,Leffen,https://smash.gg/tournament/don-t-park-on-the-grass/events
17/12/2016,Cincinnati Smash Classic VI,137,Cincinnati, OH,Midwest,Captain Faceroll,https://smash.gg/tournament/cincinnati-smash-classic-vi/events/melee-singles/brackets
17/12/2016,SoCal Colosseum 6,158,South Pasadena, CA,SoCal,CDK,https://smash.gg/tournament/socal-colosseum-6-park-on-the-grass/details
11/12/2016,New England Arcadian,156,Boston, MA ,New Eng.,Kalvar,https://smash.gg/tournament/new-england-melee-arcadian/details
11/12/2016,Eden,184,Chicago, IL,Midwest,DruggedFox,https://smash.gg/tournament/eden/events
04/12/2016,UGC Smash Open,255,Collinsville, IL,Midwest,Armada,https://smash.gg/tournament/ugc-smash-open/events
26/11/2016,DreamHack Winter 2016,242,Jonkoping, Sweden,Europe,Armada,https://smash.gg/tournament/dreamhack-winter-2016/events/melee-singles/brackets/88769
20/11/2016,Super Famicon 2016,192,Greensboro, NC,Atl. South,n0ne,https://smash.gg/tournament/super-famicon-2016/events/melee-singles/brackets
20/11/2016,Kings of the North V,227,Brookfield, WI,Midwest,Professor Pro,https://smash.gg/tournament/kings-of-the-north-v/events
20/11/2016,Rewired 2016,228,Tucson, AZ,Southwest,Westballz,https://smash.gg/tournament/rewired-2016-1/events
19/11/2016,Kickstart 13,141,London, UK,Europe,Hungrybox,https://smash.gg/tournament/kickstart-13/events
19/11/2016,Michigan Arcadian 5,156,Ann Arbor, MI,Midwest,Heartstrings,https://smash.gg/tournament/michigan-arcadian-5/events/melee-singles/brackets/87814
19/11/2016,Battlegrounds 3,175,Houston, TX,Southwest,HugS,https://smash.gg/tournament/smash-united-presents-battlegrounds-3/events/melee-singles/brackets/87599
13/11/2016,GUTS 4,105,Mashantucket, CT,New Eng.,Crush,https://smash.gg/tournament/guts-4-game-underground-tournament-spectacular-4/events/melee-singles/brackets/52822/173700
13/11/2016,Smash The Record 2016,390,Kissimmee, FL,Florida,Colbol,https://smash.gg/tournament/smashtherecord-2016-super-smash-bros-speedrunning-charity-marathon-1/events
12/11/2016,UCI Quarterly 1,127,Irvine, CA,SoCal,Santiago,https://smash.gg/tournament/uci-quarterly-1/events
12/11/2016,Colosseum a BC Arcadian,129,Vancouver, BC,Canada,The Intern,https://smash.gg/tournament/ubc-esports-presents-colosseum-a-bc-arcadian/events
12/11/2016,Shine Arial,107,Kent, OH,Midwest,Drephen,https://smash.gg/tournament/ksu-smash-presents-shine-arial/events
06/11/2016,Smash Summit 3,16,Las Angeles, CA,SoCal,Armada,https://smash.gg/tournament/smash-summit-3/events
05/11/2016,GatorLAN Fall 2016,162,Gainesville, FL,Florida,Tempo,https://smash.gg/tournament/gatorlan/events/melee-singles/brackets/66834
05/11/2016,Avalon M-VI,112,Zoetermeer, Netherlands,Europe,Amsah,http://challonge.com/AvalonMVIsingles
05/11/2016,"Nebulous Prime 63 Monthly Ed.",108,New York City, NY,Tristate,Swedish Delight,https://smash.gg/tournament/nebulous-prime-melee-64/events/melee-singles/brackets
30/10/2016,Canada Cup 2016,232,Toronto, ON,Canada,Armada,https://smash.gg/tournament/canada-cup-2016/events/melee-singles/brackets/82408
29/10/2016,FastFall or Nothing,101,Milwaukie, OR,Northwest,Silent Wolf,https://smash.gg/tournament/fastfall-or-nothing/events/melee-singles/brackets/54623
29/10/2016,SoCal Colosseum 5,115,South Pasadena, CA,SoCal,S2J,https://smash.gg/tournament/socal-colosseum-5-halloween-2016/events/melee-singles/brackets/80160
23/10/2016,Eclipse 2,247,Jessheim, Norway,Europe,Armada,https://smash.gg/tournament/eclipse-2/events/melee-singles/brackets/78031
23/10/2016,UCSD Super Triweekly 4,103,San Diego, CA,SoCal,Lucky,http://sdmelee.challonge.com/STW4singlesT32
15/10/2016,Xanadu Fall Arcadian 2016,120,Halethorpe, MD,MD/VA,Fendrick Lamar,https://smash.gg/tournament/the-fall-arcadian/details
15/10/2016,SSS: Blood For Blood,443,San Francisco, CA,NorCal,PewPewU,https://smash.gg/tournament/sss-blood-for-blood/details
14/10/2016,ASU Weekly 16/17 #9,103,Tempe, AZ,Southwest,Vitro?,http://challonge.com/asuweekly201609
09/10/2016,The Big House 6,1563,Dearborn, MI,Midwest,Mango,https://smash.gg/tournament/the-big-house-6/events/melee-singles/brackets/76016
08/10/2016,SmashBox,100,Coventry, UK,Europe,Overtriforce,https://smash.gg/tournament/smashbox/events/melee-singles/brackets/71089/226811
04/10/2016,Get Smashed at the Foundry 100,120,San Francisco, CA,NorCal,SFAT,https://smash.gg/tournament/get-smashed-100/brackets
02/10/2016,Watch The Throne 2,105,Chicago, IL,Midwest,Quindelin,https://smash.gg/tournament/chicago-arcadian-watch-the-throne-2/brackets
02/10/2016,Super South Bay Sunday 18,108,Santa Clara, CA,NorCal,SFAT,https://smash.gg/tournament/super-south-bay-sunday-18-who-are-you-people-edition/brackets/17559/76028/241779
25/09/2016,Finding Our Dad,116,Vancouver, BC,Canada,Silent Wolf,https://smash.gg/tournament/ubc-esports-presents-fod/brackets/16299/73766/234434
24/09/2016,SoCal Colosseum 4,130,South Pasadena, CA,SoCal,Westballz,https://smash.gg/tournament/socal-colosseum-4-the-melee-games/brackets/15912/59868/194639
24/09/2016,Smash @ York 11,124,Toronto, ON,Canada,KirbyKaze,https://smash.gg/tournament/smash-york-11-the-return/brackets/16058/73380/233309
17/09/2016,Dairly Beloved,145,Renton, WA,Northwest,SFAT,https://smash.gg/tournament/dairly-beloved/brackets
16/09/2016,ASU Weekly 16/17 #5,112,Tempe, AZ,Southwest,ilovebagels,http://challonge.com/asuweekly201605
11/09/2016,Syndicate 2016,209,Utrecht, Netherlands,Europe,Armada,https://smash.gg/tournament/syndicate-2016/brackets
11/09/2016,Super Smash Sundays 52,152,Santa Ana, CA,SoCal,MikeHaze,https://smash.gg/tournament/super-smash-sundays-52/brackets
10/09/2016,Smash Valley IV,107,Pleasant Gap, PA,Tristate,Swedish Delight,https://smash.gg/tournament/s-ps-presents-smash-valley-iv-featuring-colbol-swedish-delight-1/brackets
10/09/2016,The Georgia Arcadian,181,Atlanta, GA,Atl. South,Dublat,https://smash.gg/tournament/the-georgia-arcadian-1/brackets/14893/68181/218307
10/09/2016,All My Edge Guards Are Reads,105,East Lansing, MI,Midwest,KJH,https://smash.gg/tournament/all-my-edge-guards-are-reads-east-mi-tmg-qualifier/brackets
10/09/2016,Trail Gaming League Monthly 9,104,Miami, FL,Florida,Plup,http://challonge.com/TGL9MeleePro
09/09/2016,ASU Weekly 16/17 #4,150,Tempe, AZ,Southwest,PatCombo,http://challonge.com/asuweekly201604
03/09/2016,200 Beats Per Minute,107,Pittsburgh, PA,Tristate,dizzkidboogie,https://smash.gg/tournament/pitt-smash-presents-200-beats-per-minute/brackets
03/09/2016,High School Smash - Sep. 3rd,100,South Pasadena, CA,SoCal,mixx,https://smash.gg/tournament/high-school-smash-september-3rd/brackets/15283/59583/193900
03/09/2016,Show Me Your Moves 17,195,Urbana, IL,Midwest,Duck,https://smash.gg/tournament/show-me-your-moves-17/brackets/13087/36209/121554
28/08/2016,Alberta Beat Down 2016,124,Edmonton, AB,Canada,Quaff,http://albertabeatdown.challonge.com/ABD2016_Meleetop32
28/08/2016,Shine 2016,989,Boston, MA,New Eng.,Mew2King,https://smash.gg/tournament/shine-2016-1/brackets
27/08/2016,OzHadou Nationals 14,127,Sydney, Australia,Australia,Spud,https://smash.gg/tournament/ozhadou-nationals-14/brackets
27/08/2016,NaCl August 2016,110,Atlanta, GA,Atl. South,DruggedFox,https://smash.gg/tournament/the-lab-gaming-presents-nacl-august-2016-north-atlanta-championship/brackets/15723/64796/208518
26/08/2016,ASU Weekly 16/17 #2,152,Tempe, AZ,Southwest,Medz,http://challonge.com/asuweekly201602
24/08/2016,New Game Plus 67,122,Boston, MA,New Eng.,Crush,http://bigbluees.challonge.com/NGP67
21/08/2016,Heir 3,472,Nottingham, UK,Europe,Armada,https://smash.gg/tournament/heir-3-1/brackets
20/08/2016,SoCal Colosseum 3,162,South Pasadena, CA,SoCal,Westballz,https://smash.gg/tournament/socal-colosseum-3-colothreeum-2/brackets
19/08/2016,ASU Weekly 16/17 #1,138,Tempe, AZ,Southwest,Streaker,http://challonge.com/asuweekly201601
14/08/2016,Super Smash Con 2016,940,Chantilly, VA,MD/VA,Mango,https://smash.gg/tournament/super-smash-con-2016/details
14/08/2016,DreamHack Montreal 2016,172,Montreal, QC,Canada,Ryan Ford,http://dhcanada.challonge.com/dhctop32
12/08/2016,ASU Weekly 16/17 #0,108,Tempe, AZ,Southwest,Boyka,http://challonge.com/asuweekly20160
10/08/2016,Smash @ Xanadu 162,109,Halethorpe, MD,MD/VA,Ice,http://vgbootcamp.challonge.com/SAX08102016SSBM
07/08/2016,Clutch City Clash,270,The Woodlands, TX,Southwest,Mew2King,https://smash.gg/tournament/clutch-city-clash-powered-by-xyience/brackets
07/08/2016,Summit 2016,177,Kitchener, ON,Canada,Professor Pro,https://smash.gg/tournament/summit-2016/brackets
06/08/2016,805 Alive 3,100,Newbury Park, CA,SoCal,MacD,https://smash.gg/tournament/805-alive-3-3/brackets
06/08/2016,City of Melee: Arcadian,101,Melbourne, Australia,Australia,Fess,https://smash.gg/tournament/city-of-melee-arcadian/brackets/14465/52214/171726
31/07/2016,Revelation 2016,135,Denver, CO,Southwest,S2J,https://smash.gg/tournament/revelation-2016/brackets
31/07/2016,Smash Factor 5,134,Cholula, Mexico,Lat. Am.,n0ne,https://smash.gg/tournament/smash-factor-5/brackets
31/07/2016,Kings of Vancouver III,127,Vancouver, BC,Canada,Bladewise,https://smash.gg/tournament/kings-of-vancouver-iii/brackets/13797/57650/188170
